"","OTU","Sensitive_A","Tolerant_A","Sensitive_O","Tolerant_O"
"343","C3_S51_L004_contig_3496",TRUE,FALSE,FALSE,FALSE
"344","C3_S51_L004_contig_3579",FALSE,TRUE,FALSE,FALSE
"345","C3_S51_L004_contig_3611",FALSE,TRUE,FALSE,FALSE
"346","C3_S51_L004_contig_3655",FALSE,FALSE,TRUE,FALSE
"347","C3_S51_L004_contig_3717",FALSE,FALSE,FALSE,TRUE
"348","C3_S51_L004_contig_3802",TRUE,FALSE,TRUE,FALSE
"349","C3_S51_L004_contig_3842",TRUE,FALSE,TRUE,FALSE
"350","C3_S51_L004_contig_3851",TRUE,FALSE,TRUE,FALSE
"351","C3_S51_L004_contig_3918",FALSE,FALSE,TRUE,FALSE
"352","C3_S51_L004_contig_3926",FALSE,FALSE,TRUE,FALSE
"353","C3_S51_L004_contig_4025",TRUE,FALSE,TRUE,FALSE
"354","C3_S51_L004_contig_4038",FALSE,FALSE,TRUE,FALSE
"355","C3_S51_L004_contig_43",FALSE,FALSE,FALSE,TRUE
"356","C3_S51_L004_contig_447",FALSE,FALSE,FALSE,TRUE
"357","C3_S51_L004_contig_478",FALSE,TRUE,FALSE,FALSE
"358","C3_S51_L004_contig_577",TRUE,FALSE,TRUE,FALSE
"359","C3_S51_L004_contig_652",FALSE,FALSE,FALSE,TRUE
"360","C3_S51_L004_contig_678",FALSE,FALSE,TRUE,FALSE
"361","C3_S51_L004_contig_683",FALSE,TRUE,FALSE,FALSE
"362","C3_S51_L004_contig_701",TRUE,FALSE,TRUE,FALSE
"363","C3_S51_L004_contig_737",TRUE,FALSE,FALSE,FALSE
"364","C3_S51_L004_contig_748",FALSE,FALSE,FALSE,TRUE
